gene_ID	Human-Readable-Description
g278	Chloride intracellular channel protein 6
g279	Retrotransposon gag protein
g28	Plant mobile domain
g280	Retrovirus-related Pol polyprotein from transposon 297
g281	Retrovirus-related Pol polyprotein from transposon RE2
g282	Nodal modulator 1
g283	ATP-dependent RNA helicase DDX42
g284	Unknown protein
g285	Receptor-like serine/threonine-protein kinase ALE2
g286	INO80 complex subunit B
g287	Protein FAR1-RELATED SEQUENCE 5
g288	Unknown protein
g289	Protein FAR1-RELATED SEQUENCE 6
g29	Unknown protein
g290	WRKY transcription factor 22
g291	Unknown protein
g292	DELLA protein RGL2
g293	Unknown protein
g294	Unknown protein
g295	Histone-lysine N-methyltransferase MEDEA
g296	Belongs to the helicase family
g297	Receptor-like protein kinase FERONIA
g298	Unknown protein
g299	Unknown protein
g3	F-box/LRR-repeat protein At3g26922
g30	Pro-Pol polyprotein
g300	Protein FAR1-RELATED SEQUENCE 11
g301	F-box/LRR-repeat protein 13
g302	DELLA protein RGL2
g303	Histone-lysine N-methyltransferase EZ1
g304	Protein trichome birefringence-like 6
g305	Acylamino-acid-releasing enzyme
g306	Cytochrome c oxidase subunit 5C-2
g307	Dipeptidyl aminopeptidase BIII
g308	Calvin cycle protein CP12-2, chloroplastic
g309	bZIP transcription factor 53
g31	transposition, RNA-mediated
g310	Vacuolar protein sorting-associated protein 51 homolog
g311	DNA replication licensing factor MCM7
g312	DNA mismatch repair protein MSH6
g313	E3 ubiquitin-protein ligase MARCHF6
g314	Unknown protein
g315	Casein kinase 1
g316	Unknown protein
g317	Retrovirus-related Pol polyprotein from transposon 412
g318	Trafficking protein particle complex subunit
g319	Universal stress protein A-like protein
g32	transposition, RNA-mediated
g320	Unknown protein
g321	Unknown protein
g322	Unknown protein
g323	WD repeat-containing protein 6
g324	Unknown protein
g325	Casein kinase 1
g326	Casein kinase 1
g327	Unknown protein
g328	Retrovirus-related Pol polyprotein from transposon 412
g329	Trafficking protein particle complex subunit
g33	Retrotransposon gag protein
g330	Universal stress protein A-like protein
g331	Unknown protein
g332	Unknown protein
g333	WD repeat-containing protein 6
g334	Unknown protein
g335	Casein kinase 1
g336	Casein kinase 1
g337	Unknown protein
g338	Retrovirus-related Pol polyprotein from transposon 412
g339	Trafficking protein particle complex subunit
g34	Basic endochitinase A
g340	Universal stress protein A-like protein
g341	Unknown protein
g342	Unknown protein
g343	Unknown protein
g344	Multidrug resistance protein ABC transporter family protein
g345	Single-stranded DNA binding protein Ssb
g346	Transposon Tf2-9 polyprotein
g347	Unknown protein
g348	Beta-D-xylosidase 1
g349	Unknown protein
g35	Unknown protein
g350	DnaJ heat shock amino-terminal domain protein
g351	Unknown protein
g352	DnaJ homolog subfamily B member 11
g353	Unknown protein
g354	Unknown protein
g355	Transcription factor MYB111
g356	Protein MAIN-LIKE 2
g357	Belongs to the protein kinase superfamily. Ser Thr protein kinase family
g358	Cotton fibre expressed protein
g359	Unknown protein
g36	Pentatricopeptide repeat-containing protein At5g47360
g360	Unknown protein
g361	Protein NDR1
g362	Zinc finger CCCH domain-containing protein 1
g363	Unknown protein
g364	Unknown protein
g365	Unknown protein
g366	Transposon Tf2-8 polyprotein
g37	Polygalacturonase
g38	Bifunctional glutamate/proline--tRNA ligase
g39	Protein transport protein Sec23A
g4	Unknown protein
g40	PSME3-interacting protein
g41	Acyl transferase 4
g42	Two-pore potassium channel 5
g43	Protein RADIALIS-like 6
g44	Peptide chain release factor 1, mitochondrial
g45	Unknown protein
g46	Pectinesterase 4
g47	Chaperone protein DnaJ
g48	Pectinesterase 4
g49	Pectinesterase 4
g5	Retrovirus-related Pol polyprotein from transposon TNT 1-94
g50	Meiosis regulator and mRNA stability factor 1
g51	sugar phosphate phosphate translocator
g52	Zinc finger protein 2
g53	Zinc finger protein 2
g54	Squamosa promoter-binding-like protein 1
g55	S-adenosylmethionine synthase
g56	WD repeat-containing protein 6
g57	Leghemoglobin
g58	E3 ubiquitin-protein ligase ZNF598
g59	Short-chain dehydrogenase reductase 3b
g6	Transmembrane protein 184B
g60	Retrovirus-related Pol polyprotein from transposon RE1
g61	Transposon Tf2-6 polyprotein
g62	Unknown protein
g63	Gag polyprotein
g64	Retrotransposon gag protein
g65	Unknown protein
g66	Unknown protein
g67	Transposon Tf2-6 polyprotein
g68	Unknown protein
g69	Short-chain dehydrogenase reductase 3b
g7	DEAD-box ATP-dependent RNA helicase 3, chloroplastic
g70	Short-chain dehydrogenase reductase 3b
g71	protein serine/threonine kinase activity
g72	Short-chain dehydrogenase reductase 3b
g73	Short-chain dehydrogenase reductase 3b
g74	Unknown protein
g75	Ribonuclease H protein
g76	Short-chain dehydrogenase reductase 3b
g77	Shaggy-related protein kinase alpha
g78	Polygalacturonase g48100
g79	Boron transporter 1
g8	Pentatricopeptide repeat-containing protein g33350
g80	Unknown protein
g81	Retrotransposon gag protein
g82	transposition, RNA-mediated
g83	Transposon Tf2-9 polyprotein
g84	40S ribosomal protein S14
g85	Unknown protein
g86	Unknown protein
g87	Nitrogen regulatory protein P-II homolog
g88	ADP-ribosylation factor
g89	zinc finger CCCH domain-containing protein
g9	TSET complex member tstF
g90	Galactinol synthase 1
g91	Unknown protein
g92	F-box/LRR-repeat protein At3g26922
g93	SWR1-complex protein 4
g94	Pentatricopeptide repeat-containing protein g62260, mitochondrial
g95	NifU-like protein 1, chloroplastic
g96	Long chain acyl-CoA synthetase 1
g97	Unknown protein
g98	Unknown protein
g99	zinc finger
